Pol6TTaCod,Capitulo,VarRC,VarAIR,diasAseg,SumaAseg,Cobertura,Tasa,Bonif,PrimaRC,PrimaCasco,PrimaNeta
01,1,2,1,182,1750000,D4I,28.4815,0,2116.5,24921.32,30028.38
01,1,1,1,182,510000,D4,29.7934,0,2116.5,7597.32,9713.82
01,1,2,1,182,640000,C,15.5675,0,2116.5,4981.6,7695.89
01,2,4,1,182,495000,C2,18.5061,0,2540,4580.26,7669.89
01,1,2,1,182,1190000,D4I,31.283,0,2116.5,18613.39,22963.5
01,2,3,1,182,1240000,D2,24.0568,0,2540,14915.22,19245.05
01,1,1,1,182,404000,B,8.6803,0,2116.5,1753.42,4080.33
01,1,2,1,182,0,A,0,0,2490.5,0,2490.5
01,1,1,1,182,555000,D4,29.7934,0,2116.5,8267.67,11376.29
01,1,2,1,182,335000,D4I,34.4113,0,2116.5,5763.9,8572.07
01,1,1,1,182,925000,D4,21.7892,0,2116.5,10077.51,13403.31
01,2,4,1,182,2163000,D4I,22.2561,0,2540,24069.97,29498.37
01,1,1,1,182,420000,C2,15.5675,0,2116.5,3269.18,5777.98
01,1,1,1,182,365000,D4,29.7934,0,2116.5,5437.3,8206.28
01,7,1,1,182,335000,B1,9.8478,0,3387,1649.51,5234.45
01,8,1,2,182,0,A,0,0,1657,0,1657
01,2,3,1,182,2151000,D4,22.2561,0,2540,23936.44,29348.81
01,2,3,1,182,1120000,D4,30.4318,0,2540,17041.81,21626.83
01,1,1,1,182,375000,B,9.5341,0,2116.5,1787.65,4118.67
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,3,1,2,182,0,A,0,0,6951,0,6951
01,8,1,2,182,0,A,0,0,1657,0,1657
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,1,1,1,182,156000,C,15.5675,0,2116.5,1556.75,3860.06
01,2,1,1,182,441000,D4,29.7934,0,2116.5,6569.45,9474.29
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,1,1,1,182,375000,C2,15.5675,0,2116.5,2918.91,5385.68
01,1,1,1,182,244000,C2,16.8238,0,2116.5,2052.51,4415.31
01,2,3,1,182,930000,D4,30.4318,0,2540,14150.79,18388.89
01,1,1,1,182,307000,D4,32.7727,0,2116.5,5030.61,7750.79
01,2,4,1,182,621000,D4I,33.475,0,2540,10393.99,14181.27
01,8,1,2,182,0,A,0,0,1657,0,1657
01,1,1,1,182,230000,B,9.5341,0,2116.5,1096.42,3344.49
01,1,1,1,182,285000,D4,32.7727,12,2116.5,4670.11,6465.39
01,1,1,1,182,200000,C2,16.8238,0,2116.5,1682.38,4000.77
01,1,1,1,182,885000,D4,27.1253,0,2116.5,12002.95,15559.81
01,1,2,1,182,390000,D4I,34.4113,0,2116.5,6710.21,8826.71
01,1,2,1,182,116000,C1,9.0468,0,2116.5,904.68,3021.18
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,1,1,1,182,445000,D4,27.1253,0,2116.5,6035.38,8876.13
01,1,1,1,182,79000,C1,9.0468,0,2116.5,904.68,3129.74
01,2,1,1,182,750000,D4,25.7913,0,2116.5,9671.74,12948.85
01,1,1,1,182,259000,D4,32.7727,0,2116.5,4244.07,6869.86
